bulan,kopi,teh,rempah,tembakau,cokelat,udang,tanilain,tekstil,kayu,sawit,kimia,logam,alat,semen,kertas,karet,minyak,elpiji,manufakturlain,tembaga,nikel,batubara,bauksit,crude,gas,gascair,tambanglain,emas
1/05/2012,98535,12538,31832,4920,42827,88245,170442,1126709,288957,1090736,311514,738208,958906,1197,359770,1102291,278807,919,3585504,385523,82143,2476586,44282,1080710,1547898,1048840,24062,128596
1/06/2012,117510,9877,34450,7395,26506,98693,152158,1098661,282524,1085994,297474,765670,947846,2261,340859,1045169,291292,417,3372351,173787,43434,2154897,95,943782,1531077,1098502,18936,202615
1/07/2012,150096,10147,77306,10528,34092,92529,162818,1130150,267243,1934079,293217,690595,963961,809,338563,873041,186637,703,3523480,245682,57923,1967418,18665,903519,1221837,787175,22527,165642
1/08/2012,120061,9490,61708,1584,17231,70957,138170,951194,231555,1325681,315512,633869,895334,1237,301553,785922,268049,71,2978404,169503,59629,1861682,28150,1061380,1544333,1085177,33139,109672
1/09/2012,160864,10980,89460,5624,61349,101609,171508,999765,270374,1734703,313926,728895,998414,2694,329852,760023,257163,976,3481040,174680,100200,1900216,23702,975150,1141123,659209,22162,421971
1/10/2012,144284,10962,79759,8414,20450,106656,201371,981045,277665,1223330,289560,993455,931159,3173,322284,762668,164832,585,3526590,168501,145976,2143704,48276,1151857,1238541,725363,34141,145352
1/11/2012,115769,10414,69854,2558,31124,93638,185867,1005295,289564,1798280,289717,772639,910865,1283,307684,760099,219261,1793,3464513,199879,205943,2279840,71009,1080148,1247586,794348,34814,123352
1/12/2012,88250,9873,42420,2483,22931,85338,173457,1062879,300902,1397046,322678,791941,892338,744,315735,721428,273841,26,3277586,255699,195113,2277805,72649,1286508,1321682,874214,41016,98847
1/01/2013,78193,11601,40475,5415,32636,84387,159523,1111450,248519,1703248,277702,763377,860925,984,296086,751758,354419,1520,3259444,206295,165575,2129747,50465,810724,1469563,1018988,43668,131702
1/02/2013,84082,13344,30532,7361,27412,90403,148262,1003554,269250,1418481,292344,794484,873296,1800,306668,798523,279875,1041,3139687,161704,153109,1913804,74769,1069698,1187451,757912,49311,103685
1/03/2013,80295,12230,31636,11180,33978,110365,154680,1064686,289083,1084755,292087,727060,947765,2420,311384,884527,336735,597,3253156,156406,167402,2263080,96974,1012584,1515047,1036912,55897,125441
1/04/2013,91557,10919,32260,10025,32246,120219,158539,1045229,313061,1187749,282798,746670,859405,2057,316309,849954,257485,857,3228494,318472,115656,2195959,107121,917777,1291605,846737,54527,95554
1/05/2013,101841,9414,28147,9299,37502,114672,178411,1140891,305133,1480382,313598,754946,872177,4437,332225,833552,315389,1095,3650283,249948,104440,2266109,109915,993451,1094543,662268,53158,95120
1/06/2013,93193,10586,23096,5739,40172,120797,147484,1095300,291465,1485717,267069,724388,938172,2225,314634,744333,308915,1204,3359839,,111337,1945091,93309,1009082,1280951,874509,40418,102720
1/07/2013,141422,12786,57573,6312,41301,136899,163984,1367258,322647,1022690,263415,662843,977045,9758,325485,850180,289774,468,3610176,214540,76448,2053240,149094,993512,1162368,748022,40815,117180
1/08/2013,108388,7496,53458,8247,30315,105695,116573,776052,205010,1108911,271648,574504,792343,8428,260420,631650,417284,11,2712499,228783,108446,1784859,122860,1222807,1335984,921769,36854,184736
1/09/2013,133513,11313,78629,4389,49759,156211,159810,1045054,295905,1393880,293341,536685,923974,7954,316048,726061,297119,1355,3436846,339343,127913,1748050,144985,1118609,1225213,808875,50842,280747
1/10/2013,116863,10476,65361,8013,39687,160231,182204,1050733,319545,1302825,299311,747451,979846,4774,330986,789103,299096,1382,3755273,317563,161220,1848143,120518,915143,1308607,881016,51633,242155
1/11/2013,72340,9833,57716,10655,40456,131127,194541,966981,310881,1934893,267447,642013,847003,2338,303008,726359,230153,945,3529227,236008,209407,2106097,94272,956701,1342508,954653,45881,134436
1/12/2013,64719,11113,55255,6823,37907,136203,167986,1103779,339891,1394995,377866,939757,844197,2482,318885,720377,460008,60,3669280,570499,176413,2104987,154493,1167775,1475279,1056798,68541,181760
1/01/2014,58109,9681,26207,4336,3316,142847,171898,1106661,297817,1194370,351646,700323,802520,1270,300230,692502,242597,27,3679124,127003,85913,1740929,46492,554755,1243013,824305,42434,260353
1/02/2014,61874,11158,31136,7434,35833,147627,140458,1053016,319523,1476014,331430,647433,845520,1422,330148,686728,309895,27,3768176,,,1790218,27,840955,1417045,1027108,6367,157533
1/03/2014,65826,9767,34296,9572,9522,141132,172403,1052404,329310,1720442,359700,629938,880184,2027,313200,665999,266575,40,3907680,,,2032365,20,814989,1432300,1022932,12685,105705
1/04/2014,66863,9189,38813,6139,18017,136780,175832,1089500,351495,840846,380014,793876,852729,678,325042,670164,336999,543,3960491,,,1844946,22,664334,1347188,966531,13617,93433
1/05/2014,77960,8606,45537,9295,21360,129811,190231,1059148,340270,1645223,379539,936373,813340,2080,328748,606587,290942,459,3879163,,,1866588,22,789993,1158839,744375,14978,92752
1/06/2014,101177,9543,42719,4737,24019,140793,182102,1170236,327533,1583415,302790,858713,839541,4103,320923,566724,301505,35,4294035,,,1730540,6,1031200,1122324,702534,13055,147277
1/07/2014,93072,6704,55633,6022,20425,135735,173916,1096880,304261,1635430,317593,720380,786887,5337,268983,509431,270025,1334,3649209,,,1730730,29,645761,1413675,964926,21364,102105
1/08/2014,108115,8947,68941,4450,20580,153250,167566,990011,297109,1292305,354527,781911,855104,6994,349092,551624,182073,459,3795110,299563,,1587339,11,795598,1320696,962492,19084,143145
1/09/2014,109342,10373,69041,5155,12628,183114,194975,1091037,357245,1365799,292465,761423,885944,5812,336043,589610,279082,361,4071918,477825,,1687049,44,964646,935605,624552,20652,128980
1/10/2014,96609,8419,58098,5647,14555,173904,201380,1028520,351637,1833142,261241,877488,898990,3455,328111,532777,380860,419,4395250,247122,,1490779,111,598056,1236753,746973,13573,70505
1/11/2014,90247,7033,53214,11711,13896,154282,185359,920111,301414,1482679,244054,593642,815761,1810,294617,452358,170538,796,3873462,211924,,1680702,832,607954,1019830,700556,16333,106370
1/12/2014,101632,9423,53992,7899,7256,147061,183758,1189532,329147,1391881,276429,783794,831668,2377,284831,497678,134850,38,4064528,310111,,1635844,126,531382,1294691,1006432,19267,124675
1/01/2015,96476,9032,43582,5233,9106,120267,170056,1016947,306745,1253825,222901,652215,734823,1809,288933,455801,151823,1077,4029997,195244,,1515380,60,283090,934342,714058,13105,122173
1/02/2015,92734,8844,35911,7837,4928,114708,155872,991562,281041,1162221,222070,650187,701785,4893,281337,451250,188797,305,3591430,168190,,1371797,145,400498,817868,623531,11140,99481
1/03/2015,85241,8811,51808,8039,6861,123819,195169,1120733,337808,1264163,247412,602896,786691,2858,325467,490024,146097,318,3888655,205808,,1692069,98,542314,836739,599942,17317,154791
1/04/2015,98594,7572,44731,4453,7411,127818,188275,1053743,352997,1519535,238961,617272,763541,6239,324341,546681,183849,1091,4033147,93223,,1491764,60,559984,834889,604081,13224,74198
1/05/2015,90522,6616,34057,7982,8715,112335,178264,1023699,325939,1281912,266327,736935,677569,4715,303868,492320,123066,5904,3774216,493806,,1339719,16,699440,665192,421610,20386,108405
1/06/2015,125177,7373,43068,8069,21153,113698,193334,1150467,344006,1536525,251010,817688,769039,8128,310218,561781,116880,302,3989091,354055,,1255049,54,743992,772423,521162,23001,136502
1/07/2015,108763,7256,77151,1076,16249,87171,150389,948832,264627,1211775,236488,654025,645720,7293,292562,482343,109627,9,3031542,374835,,1296745,92,387077,786892,554092,15421,92681
1/08/2015,136446,8992,145464,2828,6668,105818,187100,1030853,325761,1158187,259087,569675,732376,7227,301467,561423,109052,361,3804106,403081,,1270354,59,443632,633318,454243,14631,138480
1/09/2015,111101,7488,122413,3035,12830,100189,181414,1013585,328313,1216133,224321,617221,794837,6168,306956,498638,78419,804,3847709,368586,,1190975,51,470268,589907,423496,13727,126779
1/10/2015,108139,5967,78283,2989,7941,110647,197641,947735,339134,1307427,223350,628834,797948,8087,295590,459996,82522,925,3785705,44879,,1205609,40,338038,840509,665147,18095,114988
1/11/2015,79481,5650,53016,3268,8542,106447,188485,934296,280580,1135897,184805,504934,689006,2691,271305,407553,58710,639,3361302,97819,,1155977,53,447600,853786,688936,11871,117139
1/12/2015,77941,6368,51499,4069,7643,108723,188511,1106297,326465,1354951,228941,528233,684268,2429,297110,435880,52785,497,3414098,477670,,1218597,16,325312,772909,624067,10850,114211
1/01/2016,73160,6420,42840,3900,4476,103743,164720,968590,283056,1053634,193344,403379,648513,3113,266480,387431,51745,22,3342299,204866,,1093157,11,181681,553349,435316,3659,94269
1/02/2016,67797,8410,39291,3025,4592,104122,162430,977268,290873,1051452,192573,510794,668154,3634,275459,415164,37934,76,4004071,226200,,1038244,21,283245,526178,426597,8392,134018
